,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,Loeches,96276,113179,150856,229595,191401,178850,197031,259574,396332,249345,347519,230701,273260,285172,310098,354586,402562,443766,472756,453168,533933,569138,562876,549837,583595,555619,588674,645034,546589,534520,560023,561053,615678,594161,658992,675805,722070
85,Lozoya,2175,0,2783,2251,1993,1268,3550,3498,34855,63615,69121,85412,79861,84600,85533,96777,84077,73204,84375,81548,81316,79196,81984,65137,86871,56972,65560,60110,54213,47166,53970,54255,63508,55705,60518,61188,66847
86,Lozoyuela-Navas-Sieteiglesias,105163,119440,169934,147614,142224,158391,101567,76645,82035,84069,94490,83703,80199,82646,84419,86726,79907,86057,94284,100277,119132,99037,93957,102497,109222,91335,108759,95907,99728,92189,97915,105050,108362,112282,114297,119186,120891
87,Madarcos,7290,12120,10853,13735,11318,11189,16488,15045,829,3783,3843,3934,2815,3662,4131,4448,4450,5260,5080,5834,4893,4483,3924,4310,4252,4373,4702,4513,5566,3680,3895,3701,3927,3667,4211,4719,4733
88,Madrid,415957219,0,450044034,474347134,501043504,507734296,520789060,482891936,226794579,229282880,223937501,220780918,226920570,227939860,236583296,240940938,243679367,246632800,253284264,246643832,261061411,232408297,226948513,231964118,224708534,211036865,215665633,207604289,198931286,197544547,201539383,203672914,205140270,198312357,205244545,195491700,194126030
89,Majadahonda,265609,0,2961668,3051627,3408448,3572486,3675193,3497397,3343970,3636254,3755499,3779397,3872175,3972359,4405296,4622467,4933145,5135532,5438695,5451829,5845621,5022261,5131403,5115811,5450188,5942649,5442680,5473095,5397120,5384941,5732827,5704361,5841691,5491449,5868844,5556823,5605409
90,Manzanares el Real,0,0,145999,242740,103312,572067,712241,571169,559200,721791,656081,639374,615324,603038,632942,662819,661502,670371,1106811,884564,902419,742852,708807,752582,750526,685503,782629,734948,717582,716140,759291,740970,766563,709395,792087,786673,771072
91,Meco,0,0,0,0,0,0,0,0,0,0,148527,301183,328795,349947,431179,498721,603702,710526,824650,888468,939812,866389,876991,885613,940088,734496,892311,950835,820607,868391,927426,911399,972148,925418,965999,1031281,1010886
92,Mejorada del Campo,990677,420433,1081807,1309401,1080704,1172593,1209636,1214276,1275446,1402416,1373001,1357136,1432048,1397811,1415849,1493086,1565904,1651061,1801114,1796189,1971819,1757063,1848096,1719993,1863852,1652578,1700358,1876161,1633445,1589526,1646079,1571522,1640732,1586453,1601501,1626580,1645177
93,Miraflores de la Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562091,45,0,0,569353,614469,578767,483681,492488,508141,538873,542407,494504,573878,605372,582966
